,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
5170,other,5,5,5.33,0.3103517841631866,0.19514917675761154,0.11188764632382824,0.22845981028601292,2.04,5.41,735.39,32.0,0
5171,otter,5,5,5.47,0.10658824449931678,0.13570026449540493,0.04784688713796838,0.11942325619554978,4.86,6.95,1.35,30.0,0
5172,ought,5,3,9.62,0.38624727441650336,0.17432120821342736,0.1377872002117559,0.21384060089142962,1.43,5.0,80.75,33.0,0
5173,ounce,5,4,8.78,0.08745884975206063,0.19514704256994428,0.5531245074447366,0.06224234319942713,3.86,5.65,4.04,34.0,0
5174,outage,6,5,9.06,0.7007659662561623,0.0654197645046366,0.7007659662561623,0.03978133776742542,2.83,3.86,0.41,38.0,1
5175,outback,7,6,9.89,0.061871071330936535,0.04488525156163177,0.10429790506274379,0.03729592479389568,3.56,5.3,0.92,51.0,1
5176,outbid,6,7,12.39,0.054955732881085885,0.06810261921358066,0.05016696905472231,0.06233584733926112,3.07,4.86,0.41,50.0,1
5177,outboard,8,6,11.08,0.06011041054492426,0.0480817453544888,0.07535826021855482,0.05191681116484079,4.07,5.15,0.55,56.0,1
5178,outbreak,8,7,10.5,0.6793501255268547,0.06578312479628769,0.6793501255268547,0.12935160476723115,3.04,2.47,1.94,65.0,1
5179,outburst,8,7,11.25,0.5969065217076208,0.09085481150761326,0.5969065217076208,0.0440000389739347,2.76,4.15,1.45,65.0,1
5180,outcast,7,7,8.84,0.48858324100198025,0.16695376021649713,0.48858324100198025,0.14210718474476616,2.62,2.86,1.31,53.0,1
5181,outcome,7,6,9.53,0.5603997207267103,0.03897451461959791,0.5603997207267103,0.11815948869911284,2.27,5.62,3.94,56.0,1
5182,outdo,5,6,10.06,0.11452221648617028,0.061152004575820304,0.33347498479136256,0.09682718350211487,1.59,4.95,0.51,40.0,1
5183,outdoor,7,6,4.6,0.6107985184060509,0.1821437999488062,0.043277203047868,0.0631207702466807,3.93,7.33,1.82,54.0,1
5184,outer,5,5,7.32,0.12547452108247356,0.06182478043734956,0.10228597824809874,0.09600234572131554,3.74,5.19,9.08,34.0,1
5185,outfit,6,6,7.0,0.6092822150709655,0.1423649235092512,0.6092822150709655,0.12497786623410496,4.12,6.05,25.1,47.0,1
5186,outgrow,7,7,6.94,0.39386974765719884,0.20626123776227864,0.4097289093790736,0.1016379222039867,2.88,4.4,0.41,50.0,1
